province,male,female,age
Prov. Sulawesi Barat,70997,67067,0-4
Prov. Sulawesi Barat,75947,71843,5-9
Prov. Sulawesi Barat,68038,63858,10-14
Prov. Sulawesi Barat,53509,53243,15-19
Prov. Sulawesi Barat,45792,48006,20-24
Prov. Sulawesi Barat,47888,49851,25-29
Prov. Sulawesi Barat,44355,45526,30-34
Prov. Sulawesi Barat,43277,42105,35-39
Prov. Sulawesi Barat,34900,34303,40-44
Prov. Sulawesi Barat,26039,25634,45-49
Prov. Sulawesi Barat,21340,21829,50-54
Prov. Sulawesi Barat,15057,14715,55-59
Prov. Sulawesi Barat,12679,13798,60-64
Prov. Sulawesi Barat,21708,25347,65+
Prov. Sulawesi Selatan,394266,370448,0-4
Prov. Sulawesi Selatan,427032,401037,5-9
Prov. Sulawesi Selatan,413009,390137,10-14
Prov. Sulawesi Selatan,358367,357454,15-19
Prov. Sulawesi Selatan,320521,341526,20-24
Prov. Sulawesi Selatan,311189,335619,25-29
Prov. Sulawesi Selatan,289991,313075,30-34
Prov. Sulawesi Selatan,284121,300354,35-39
Prov. Sulawesi Selatan,247426,267340,40-44
Prov. Sulawesi Selatan,197242,220100,45-49
Prov. Sulawesi Selatan,164104,182193,50-54
Prov. Sulawesi Selatan,125291,135832,55-59
Prov. Sulawesi Selatan,98834,122547,60-64
Prov. Sulawesi Selatan,179780,248181,65+
Prov. Sulawesi Tengah,148866,140627,0-4
Prov. Sulawesi Tengah,161946,152631,5-9
Prov. Sulawesi Tengah,139896,131481,10-14
Prov. Sulawesi Tengah,115922,111728,15-19
Prov. Sulawesi Tengah,109682,107533,20-24
Prov. Sulawesi Tengah,119441,117329,25-29
Prov. Sulawesi Tengah,113783,108697,30-34
Prov. Sulawesi Tengah,105511,100130,35-39
Prov. Sulawesi Tengah,89039,83036,40-44
Prov. Sulawesi Tengah,70981,65321,45-49
Prov. Sulawesi Tengah,57957,52733,50-54
Prov. Sulawesi Tengah,41632,36259,55-59
Prov. Sulawesi Tengah,29773,28276,60-64
Prov. Sulawesi Tengah,46415,48384,65+
Prov. Sulawesi Tenggara,138214,130038,0-4
Prov. Sulawesi Tenggara,138406,129400,5-9
Prov. Sulawesi Tenggara,126742,118650,10-14
Prov. Sulawesi Tenggara,107592,105756,15-19
Prov. Sulawesi Tenggara,96150,101478,20-24
Prov. Sulawesi Tenggara,96989,100531,25-29
Prov. Sulawesi Tenggara,85159,86463,30-34
Prov. Sulawesi Tenggara,80754,80539,35-39
Prov. Sulawesi Tenggara,67254,64227,40-44
Prov. Sulawesi Tenggara,51678,50824,45-49
Prov. Sulawesi Tenggara,41795,42313,50-54
Prov. Sulawesi Tenggara,30804,27713,55-59
Prov. Sulawesi Tenggara,22056,23770,60-64
Prov. Sulawesi Tenggara,38233,45833,65+
Prov. Sulawesi Utara,103941,97552,0-4
Prov. Sulawesi Utara,115189,106567,5-9
Prov. Sulawesi Utara,107105,100144,10-14
Prov. Sulawesi Utara,98943,92593,15-19
